;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
3375;IND02M33;Број активних предузетника по NACE Rev.2  (сектор F);5;2021;70491;Деспотовац;52;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3376;IND02M34;Број активних предузетника по NACE Rev.2  (сектор G);5;2021;70491;Деспотовац;190;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3377;IND02M35;Број активних предузетника по NACE Rev.2  (сектор H);5;2021;70491;Деспотовац;46;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3378;IND02M36;Број активних предузетника по NACE Rev.2  (сектор I);5;2021;70491;Деспотовац;96;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3379;IND02M37;Број активних предузетника по NACE Rev.2  (сектор J);5;2021;70491;Деспотовац;18;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3380;IND02M38;Број активних предузетника по NACE Rev.2  (сектор K);5;2021;70491;Деспотовац;3;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3381;IND02M39;Број активних предузетника по NACE Rev.2  (сектор L);5;2021;70491;Деспотовац;1;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3382;IND02M40;Број активних предузетника по NACE Rev.2  (сектор M);5;2021;70491;Деспотовац;35;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3383;IND02M41;Број активних предузетника по NACE Rev.2  (сектор N);5;2021;70491;Деспотовац;9;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3384;IND02M42;Број активних предузетника по NACE Rev.2  (сектор O);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3385;IND02M43;Број активних предузетника по NACE Rev.2  (сектор P);5;2021;70491;Деспотовац;2;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3386;IND02M44;Број активних предузетника по NACE Rev.2  (сектор Q);5;2021;70491;Деспотовац;11;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3387;IND02M45;Број активних предузетника по NACE Rev.2  (сектор R);5;2021;70491;Деспотовац;3;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3388;IND02M46;Број активних предузетника по NACE Rev.2  (сектор S);5;2021;70491;Деспотовац;33;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3389;IND02M47;Број активних предузетника по NACE Rev.2  (сектор T);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
